date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:14:42	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Sep%202019%2018:14:44%20GMT	http://clackwar.com/robots.txt		(from )
21:14:43	4848/4848	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Sep%202019%2018:14:45%20GMT	http://clackwar.com/	C:/Users/furkan/Desktop/mflackwar/clackwar.com/index.html	(from )
21:14:43	52982/52982	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/assets/css/main.css	C:/Users/furkan/Desktop/mflackwar/clackwar.com/assets/css/main.css	(from http://clackwar.com/)
21:14:47	31708/31708	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Jun%202019%2020:11:00%20GMT	http://clackwar.com/favicon.jpg	C:/Users/furkan/Desktop/mflackwar/clackwar.com/favicon.jpg	(from http://clackwar.com/)
21:14:47	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Sep%202019%2018:14:49%20GMT	http://clackwar.com/clackwar2@gmail.com	C:/Users/furkan/Desktop/mflackwar/clackwar.com/clackwar2@gmail.com	(from http://clackwar.com/)
21:14:47	28191/28191	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/images/pic01.jpg	C:/Users/furkan/Desktop/mflackwar/clackwar.com/images/pic01.jpg	(from http://clackwar.com/)
21:14:48	2257/2257	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/assets/js/jquery.scrollex.min.js	C:/Users/furkan/Desktop/mflackwar/clackwar.com/assets/js/jquery.scrollex.min.js	(from http://clackwar.com/)
21:14:48	29067/29067	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/images/pic02.jpg	C:/Users/furkan/Desktop/mflackwar/clackwar.com/images/pic02.jpg	(from http://clackwar.com/)
21:14:48	831/831	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/assets/js/jquery.scrolly.min.js	C:/Users/furkan/Desktop/mflackwar/clackwar.com/assets/js/jquery.scrolly.min.js	(from http://clackwar.com/)
21:14:48	1851/1851	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/assets/js/browser.min.js	C:/Users/furkan/Desktop/mflackwar/clackwar.com/assets/js/browser.min.js	(from http://clackwar.com/)
21:14:48	30108/30108	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/images/pic03.jpg	C:/Users/furkan/Desktop/mflackwar/clackwar.com/images/pic03.jpg	(from http://clackwar.com/)
21:14:49	2439/2439	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/assets/js/breakpoints.min.js	C:/Users/furkan/Desktop/mflackwar/clackwar.com/assets/js/breakpoints.min.js	(from http://clackwar.com/)
21:14:49	12433/12433	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/assets/js/util.js	C:/Users/furkan/Desktop/mflackwar/clackwar.com/assets/js/util.js	(from http://clackwar.com/)
21:14:49	3618/3618	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/assets/js/main.js	C:/Users/furkan/Desktop/mflackwar/clackwar.com/assets/js/main.js	(from http://clackwar.com/)
21:14:49	31000/31000	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/assets/css/font-awesome.min.css	C:/Users/furkan/Desktop/mflackwar/clackwar.com/assets/css/font-awesome.min.css	(from http://clackwar.com/assets/css/main.css)
21:14:50	2194/2194	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/assets/css/images/overlay.png	C:/Users/furkan/Desktop/mflackwar/clackwar.com/assets/css/images/overlay.png	(from http://clackwar.com/assets/css/main.css)
21:14:50	408/408	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/assets/css/images/arrow.svg	C:/Users/furkan/Desktop/mflackwar/clackwar.com/assets/css/images/arrow.svg	(from http://clackwar.com/assets/css/main.css)
21:14:50	86927/86927	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/assets/js/jquery.min.js	C:/Users/furkan/Desktop/mflackwar/clackwar.com/assets/js/jquery.min.js	(from http://clackwar.com/)
21:14:54	33553/33553	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/images/bg.jpg	C:/Users/furkan/Desktop/mflackwar/clackwar.com/images/bg.jpg	(from http://clackwar.com/assets/css/main.css)
21:15:03	77160/77160	---M--	200	added ('OK')	font/woff2	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/furkan/Desktop/mflackwar/clackwar.com/assets/fonts/fontawesome-webfont3e6e.woff2	(from http://clackwar.com/assets/css/font-awesome.min.css)
21:15:07	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/assets/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/furkan/Desktop/mflackwar/clackwar.com/assets/fonts/fontawesome-webfont3e6e.svg	(from http://clackwar.com/assets/css/font-awesome.min.css)
21:15:11	98024/98024	---M--	200	added ('OK')	font/woff	date:Wed,%2013%20Jun%202018%2018:55:24%20GMT	http://clackwar.com/assets/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/furkan/Desktop/mflackwar/clackwar.com/assets/fonts/fontawesome-webfont3e6e.woff	(from http://clackwar.com/assets/css/font-awesome.min.css)
